BRIN_NUMMER;VESTIGINGSNUMMER;INSTELLINGSNAAM_VESTIGING;POSTCODE_VESTIGING;PLAATSNAAM;GEMEENTENUMMER;GEMEENTENAAM;PROVINCIE;SOORT_PO;DENOMINATIE_VESTIGING;BEVOEGD_GEZAG_NUMMER;LJ8_13;ZIT_13;ZITPERC_13;ZITPERC_LJ_13;LJ8_14;ZIT_14;ZITPERC_14;ZITPERC_LJ_14;LJ8_15;ZIT_15;ZITPERC_15;ZITPERC_LJ_15;LJ8_16;ZIT_16;ZITPERC_16;ZITPERC_LJ_16;LJ8_17;ZIT_17;ZITPERC_17;ZITPERC_LJ_17;LJ8_18;ZIT_18;ZITPERC_18;ZITPERC_LJ_18;LJ8_19;ZIT_19;ZITPERC_19;ZITPERC_LJ_19
00AP;00;Wereldwijs;2716PH;ZOETERMEER; 637;Zoetermeer;Zuid-Holland;Bo;Gereformeerd vrijgemaakt;41646;12;1;,0833333333333333;,0104166666666667;11;0;0;0;13;0;0;0;11;1;,0909090909090909;,0113636363636364;11;2;,181818181818182;,0227272727272727;11;1;,0909090909090909;,0113636363636364;8;2;,25;,03125
00AR;00;"BS ""De Maasparel""";6107AW;STEVENSWEERT;1641;Maasgouw;Limburg;Bo;Rooms-Katholiek;41797;12;1;,0833333333333333;,0104166666666667;18;1;,0555555555555556;,00694444444444444;17;0;0;0;21;1;,0476190476190476;,00595238095238095;17;1;,0588235294117647;,00735294117647059;17;1;,0588235294117647;,00735294117647059;15;0;0;0
00AV;00;De Morgenster;3201CN;SPIJKENISSE;1930;Nissewaard;Zuid-Holland;Bo;Gereformeerd vrijgemaakt;41646;4;0;0;0;3;1;,333333333333333;,0416666666666667;8;0;0;0;9;1;,111111111111111;,0138888888888889;12;0;0;0;12;1;,0833333333333333;,0104166666666667;7;0;0;0
00AZ;00;De Stapsteen;2971AR;BLESKENSGRAAF CA;1978;Molenlanden;Zuid-Holland;Bo;Openbaar;41638;12;1;,0833333333333333;,0104166666666667;24;3;,125;,015625;19;3;,157894736842105;,0197368421052632;15;2;,133333333333333;,0166666666666667;16;4;,25;,03125;14;2;,142857142857143;,0178571428571429;11;1;,0909090909090909;,0113636363636364
00BA;00;OBS De Klimboom;6666EB;HETEREN;1734;Overbetuwe;Gelderland;Bo;Openbaar;41530;22;3;,136363636363636;,0170454545454545;12;4;,333333333333333;,0416666666666667;24;5;,208333333333333;,0260416666666667;24;4;,166666666666667;,0208333333333333;2;0;0;0;15;0;0;0;11;0;0;0
00BB;00;Obs Letterwies;9944AR;NIEUWOLDA;1895;Oldambt;Groningen;Bo;Openbaar;41613;13;1;,0769230769230769;,00961538461538462;16;0;0;0;15;2;,133333333333333;,0166666666666667;6;0;0;0;21;5;,238095238095238;,0297619047619048;11;1;,0909090909090909;,0113636363636364;6;0;0;0
00BS;00;Geref Basisschool;7711KP;NIEUWLEUSEN; 148;Dalfsen;Overijssel;Bo;Gereformeerd vrijgemaakt;41632;12;3;,25;,03125;15;1;,0666666666666667;,00833333333333333;14;1;,0714285714285714;,00892857142857143;20;2;,1;,0125;13;0;0;0;15;0;0;0;19;1;,0526315789473684;,00657894736842105
00BW;00;Jenaplanschool De Vlieger;6131KJ;SITTARD;1883;Sittard-Geleen;Limburg;Bo;Algemeen bijzonder;41516;12;3;,25;,03125;11;2;,181818181818182;,0227272727272727;11;4;,363636363636364;,0454545454545455;7;2;,285714285714286;,0357142857142857;14;3;,214285714285714;,0267857142857143;7;3;,428571428571429;,0535714285714286;17;3;,176470588235294;,0220588235294118
00CD;00;Basisschool De Lockaert;5345JG;OSS; 828;Oss;Noord-Brabant;Bo;Algemeen bijzonder;41228;21;1;,0476190476190476;,00595238095238095;25;1;,04;,005;19;2;,105263157894737;,0131578947368421;11;1;,0909090909090909;,0113636363636364;20;5;,25;,03125;18;2;,111111111111111;,0138888888888889;15;0;0;0
00CG;00;De Harlekijn;6372AC;LANDGRAAF; 882;Landgraaf;Limburg;Bo;Openbaar;41516;45;7;,155555555555556;,0194444444444444;42;8;,19047619047619;,0238095238095238;47;12;,25531914893617;,0319148936170213;47;15;,319148936170213;,0398936170212766;36;4;,111111111111111;,0138888888888889;43;4;,0930232558139535;,0116279069767442;43;3;,0697674418604651;,00872093023255814
00CS;00;De Leilinde;9671JA;WINSCHOTEN;1895;Oldambt;Groningen;Bo;Gereformeerd vrijgemaakt;42607;15;0;0;0;5;0;0;0;19;0;0;0;8;0;0;0;11;1;,0909090909090909;,0113636363636364;12;0;0;0;11;0;0;0
00CU;00;Basisschool Zilverlinde;4707HS;ROOSENDAAL;1674;Roosendaal;Noord-Brabant;Bo;Antroposofisch;41246;12;2;,166666666666667;,0208333333333333;10;2;,2;,025;10;4;,4;,05;9;1;,111111111111111;,0138888888888889;0;0; ; ;10;3;,3;,0375;5;0;0;0
00CV;00;School Matthijsje;8388NA;OOSTERSTREEK;  98;Weststellingwerf;Friesland;Bo;Algemeen bijzonder;20210;11;0;0;0;5;1;,2;,025;6;2;,333333333333333;,0416666666666667;6;0;0;0;7;3;,428571428571429;,0535714285714286;4;0;0;0;7;1;,142857142857143;,0178571428571429
00DA;00;Chr BS Betrouwen;9243SJ;BAKKEVEEN;  86;Opsterland;Friesland;Bo;Protestants-Christelijk;30051;0;0; ; ;7;1;,142857142857143;,0178571428571429;13;0;0;0;4;0;0;0;14;2;,142857142857143;,0178571428571429;12;1;,0833333333333333;,0104166666666667;10;0;0;0
00DD;00;Basissch Het Startnest;1422LE;UITHOORN; 451;Uithoorn;Noord-Holland;Bo;Rooms-Katholiek;40581;34;8;,235294117647059;,0294117647058824;46;13;,282608695652174;,0353260869565217;32;3;,09375;,01171875;37;8;,216216216216216;,027027027027027;35;1;,0285714285714286;,00357142857142857;34;7;,205882352941176;,0257352941176471;42;7;,166666666666667;,0208333333333333
00DM;00;De Bolderik;5473PG;HEESWIJK-DINTHER;1721;Bernheze;Noord-Brabant;Bo;Openbaar;75388;15;0;0;0;26;1;,0384615384615385;,00480769230769231;18;2;,111111111111111;,0138888888888889;19;1;,0526315789473684;,00657894736842105;23;0;0;0;21;1;,0476190476190476;,00595238095238095;15;1;,0666666666666667;,00833333333333333
00DN;00;De Bundeling;6241BB;BUNDE; 938;Meerssen;Limburg;Bo;Openbaar;42669;32;4;,125;,015625;13;1;,0769230769230769;,00961538461538462;24;1;,0416666666666667;,00520833333333333;21;5;,238095238095238;,0297619047619048;21;0;0;0;13;0;0;0;17;3;,176470588235294;,0220588235294118
00DO;00;Van Rijckevorsel;3151CJ;HOEK VAN HOLLAND; 599;Rotterdam;Zuid-Holland;Bo;Openbaar;41775;21;1;,0476190476190476;,00595238095238095;24;4;,166666666666667;,0208333333333333;25;3;,12;,015;15;2;,133333333333333;,0166666666666667;23;1;,0434782608695652;,00543478260869565;10;1;,1;,0125;16;1;,0625;,0078125
00DW;00;De Trompetter;6986AT;ANGERLO; 299;Zevenaar;Gelderland;Bo;Rooms-Katholiek;77235;27;5;,185185185185185;,0231481481481481;26;4;,153846153846154;,0192307692307692;25;4;,16;,02;16;1;,0625;,0078125;20;2;,1;,0125;18;1;,0555555555555556;,00694444444444444;9;0;0;0
00DX;00;Vrije School Assen;9404KK;ASSEN; 106;Assen;Drenthe;Bo;Antroposofisch;77456;22;2;,0909090909090909;,0113636363636364;22;0;0;0;21;2;,0952380952380952;,0119047619047619;17;0;0;0;21;2;,0952380952380952;,0119047619047619;24;2;,0833333333333333;,0104166666666667;13;0;0;0
00DY;00;Basisschool het Sterrenlicht;8084GK;'T HARDE; 230;Elburg;Gelderland;Bo;Gereformeerd vrijgemaakt;41632;14;0;0;0;16;4;,25;,03125;12;0;0;0;12;1;,0833333333333333;,0104166666666667;12;3;,25;,03125;11;1;,0909090909090909;,0113636363636364;15;0;0;0
00DZ;00;Agnietenschool;8081NB;ELBURG; 230;Elburg;Gelderland;Bo;Rooms-Katholiek;40950;9;1;,111111111111111;,0138888888888889;8;2;,25;,03125;14;0;0;0;12;0;0;0;25;1;,04;,005;33;8;,242424242424242;,0303030303030303;24;3;,125;,015625
00EB;00;Bs Het Telraam;5441AK;OEFFELT; 756;Boxmeer;Noord-Brabant;Bo;Rooms-Katholiek;48348;30;5;,166666666666667;,0208333333333333;26;6;,230769230769231;,0288461538461538;0;0; ; ;38;3;,0789473684210526;,00986842105263158;26;3;,115384615384615;,0144230769230769;22;2;,0909090909090909;,0113636363636364;19;3;,157894736842105;,0197368421052632
00EI;00;Reform Basisschool;3286BC;KLAASWAAL;1963;Hoeksche Waard;Zuid-Holland;Bo;Reformatorisch;30133;18;2;,111111111111111;,0138888888888889;14;1;,0714285714285714;,00892857142857143;15;1;,0666666666666667;,00833333333333333;18;2;,111111111111111;,0138888888888889;18;0;0;0;22;1;,0454545454545455;,00568181818181818;19;0;0;0
00FE;00;Geref Basissch De Halm;4286BV;ALMKERK;1959;Altena;Noord-Brabant;Bo;Gereformeerd vrijgemaakt;41646;12;1;,0833333333333333;,0104166666666667;12;2;,166666666666667;,0208333333333333;12;1;,0833333333333333;,0104166666666667;8;0;0;0;12;1;,0833333333333333;,0104166666666667;5;1;,2;,025;13;0;0;0
00FG;00;BS De Triangel;7557KJ;HENGELO OV; 164;Hengelo;Overijssel;Bo;Gereformeerd vrijgemaakt;41624;11;2;,181818181818182;,0227272727272727;14;0;0;0;15;0;0;0;12;2;,166666666666667;,0208333333333333;13;1;,0769230769230769;,00961538461538462;14;1;,0714285714285714;,00892857142857143;8;0;0;0
00FI;00;Samenw Basisschool Pork;9561CB;TER APEL;1950;Westerwolde;Groningen;Bo;Algemeen bijzonder;45000;27;8;,296296296296296;,037037037037037;24;4;,166666666666667;,0208333333333333;27;5;,185185185185185;,0231481481481481;22;5;,227272727272727;,0284090909090909;23;0;0;0;25;1;,04;,005;28;0;0;0
00FQ;00;Montessori BS De Kraal;4691HT;THOLEN; 716;Tholen;Zeeland;Bo;Algemeen bijzonder;30124;14;1;,0714285714285714;,00892857142857143;13;2;,153846153846154;,0192307692307692;7;2;,285714285714286;,0357142857142857;10;1;,1;,0125;3;0;0;0;7;1;,142857142857143;,0178571428571429;7;1;,142857142857143;,0178571428571429
00GQ;00;Rehoboth Basisschool;2404GM;ALPHEN AAN DEN RIJN; 484;Alphen aan den Rijn;Zuid-Holland;Bo;Reformatorisch;20183;23;3;,130434782608696;,016304347826087;15;1;,0666666666666667;,00833333333333333;23;3;,130434782608696;,016304347826087;17;0;0;0;21;1;,0476190476190476;,00595238095238095;14;0;0;0;15;0;0;0
00GR;00;Kristal;8181VZ;HEERDE; 246;Heerde;Gelderland;Bo;Gereformeerd vrijgemaakt;41632;6;0;0;0;9;0;0;0;5;1;,2;,025;7;0;0;0;11;2;,181818181818182;,0227272727272727;7;1;,142857142857143;,0178571428571429;22;0;0;0
00GU;00;De Reinboge;8732EE;KUBAARD; 140;Littenseradiel;Friesland;Bo;Algemeen bijzonder;41856;6;2;,333333333333333;,0416666666666667;2;0;0;0;6;1;,166666666666667;,0208333333333333;0;0; ; ;0;0; ; ;0;0; ; ;0;0; ; 
00GV;00;Basisschool Maria-School;7661RA;VASSE; 183;Tubbergen;Overijssel;Bo;Rooms-Katholiek;50949;23;2;,0869565217391304;,0108695652173913;29;1;,0344827586206897;,00431034482758621;27;1;,037037037037037;,00462962962962963;28;2;,0714285714285714;,00892857142857143;17;2;,117647058823529;,0147058823529412;18;2;,111111111111111;,0138888888888889;18;1;,0555555555555556;,00694444444444444
00GX;00;RK BS St Jacobus;6675BB;VALBURG;1734;Overbetuwe;Gelderland;Bo;Rooms-Katholiek;41530;26;0;0;0;26;1;,0384615384615385;,00480769230769231;15;1;,0666666666666667;,00833333333333333;19;0;0;0;21;2;,0952380952380952;,0119047619047619;12;1;,0833333333333333;,0104166666666667;8;0;0;0
00GZ;00;Maharishi Basisschool;8226LP;LELYSTAD; 995;Lelystad;Flevoland;Bo;Algemeen bijzonder;41335;18;3;,166666666666667;,0208333333333333;11;2;,181818181818182;,0227272727272727;13;4;,307692307692308;,0384615384615385;9;1;,111111111111111;,0138888888888889;6;1;,166666666666667;,0208333333333333;11;2;,181818181818182;,0227272727272727;6;2;,333333333333333;,0416666666666667
00HA;00;Ref Basissch Augustinus;3851BH;ERMELO; 233;Ermelo;Gelderland;Bo;Reformatorisch;30128;33;4;,121212121212121;,0151515151515152;26;4;,153846153846154;,0192307692307692;34;6;,176470588235294;,0220588235294118;30;2;,0666666666666667;,00833333333333333;38;3;,0789473684210526;,00986842105263158;29;4;,137931034482759;,0172413793103448;28;1;,0357142857142857;,00446428571428571
00HH;00;OBS De Vliete;4491GB;WISSENKERKE;1695;Noord-Beveland;Zeeland;Bo;Openbaar;41582;15;2;,133333333333333;,0166666666666667;18;1;,0555555555555556;,00694444444444444;8;0;0;0;14;2;,142857142857143;,0178571428571429;6;2;,333333333333333;,0416666666666667;8;1;,125;,015625;14;0;0;0
00HZ;00;Klavertje 4;3421XL;OUDEWATER; 589;Oudewater;Utrecht;Bo;Algemeen bijzonder;20252;29;1;,0344827586206897;,00431034482758621;32;6;,1875;,0234375;33;4;,121212121212121;,0151515151515152;25;1;,04;,005;27;4;,148148148148148;,0185185185185185;22;5;,227272727272727;,0284090909090909;21;2;,0952380952380952;,0119047619047619
00IF;00;RK BS Heilig Hart;7666LH;FLERINGEN; 183;Tubbergen;Overijssel;Bo;Rooms-Katholiek;50949;15;0;0;0;23;2;,0869565217391304;,0108695652173913;16;2;,125;,015625;16;0;0;0;13;1;,0769230769230769;,00961538461538462;19;3;,157894736842105;,0197368421052632;6;0;0;0
00IJ;00;PC BS De Schaapskooi;7443HC;NIJVERDAL; 163;Hellendoorn;Overijssel;Bo;Protestants-Christelijk;85600;39;9;,230769230769231;,0288461538461538;31;11;,354838709677419;,0443548387096774;36;5;,138888888888889;,0173611111111111;47;6;,127659574468085;,0159574468085106;33;3;,0909090909090909;,0113636363636364;36;4;,111111111111111;,0138888888888889;29;3;,103448275862069;,0129310344827586
00IM;00;Joos v Larensch;4341ER;ARNEMUIDEN; 687;Middelburg;Zeeland;Bo;Reformatorisch;30145;11;0;0;0;6;0;0;0;13;0;0;0;11;2;,181818181818182;,0227272727272727;8;0;0;0;12;0;0;0;22;5;,227272727272727;,0284090909090909
01VE;00;GBS De Bron;3771CS;BARNEVELD; 203;Barneveld;Gelderland;Bo;Gereformeerd vrijgemaakt;40945;16;2;,125;,015625;21;1;,0476190476190476;,00595238095238095;10;1;,1;,0125;8;0;0;0;12;4;,333333333333333;,0416666666666667;9;0;0;0;12;1;,0833333333333333;,0104166666666667
01VG;00;Jenaplansch T Vlot;9602KZ;HOOGEZAND;1952;Midden-Groningen;Groningen;Bo;Algemeen bijzonder;40865;13;0;0;0;11;0;0;0;6;1;,166666666666667;,0208333333333333;9;2;,222222222222222;,0277777777777778;15;4;,266666666666667;,0333333333333333;22;8;,363636363636364;,0454545454545455;15;2;,133333333333333;,0166666666666667
01VG;01;Peter Petersenschool;9751SL;HAREN GN;  14;Groningen;Groningen;Bo;Algemeen bijzonder;40865;22;3;,136363636363636;,0170454545454545;31;3;,0967741935483871;,0120967741935484;37;7;,189189189189189;,0236486486486487;20;1;,05;,00625;29;4;,137931034482759;,0172413793103448;27;4;,148148148148148;,0185185185185185;28;2;,0714285714285714;,00892857142857143
01VI;00;De Parkschool;3813LW;AMERSFOORT; 307;Amersfoort;Utrecht;Bo;Protestants-Christelijk;30010;50;4;,08;,01;29;1;,0344827586206897;,00431034482758621;40;4;,1;,0125;40;1;,025;,003125;38;7;,184210526315789;,0230263157894737;23;4;,173913043478261;,0217391304347826;30;2;,0666666666666667;,00833333333333333
01VQ;00;Rk Bs Beekvliet;1991ET;VELSERBROEK; 453;Velsen;Noord-Holland;Bo;Rooms-Katholiek;40257;64;4;,0625;,0078125;57;4;,0701754385964912;,0087719298245614;71;8;,112676056338028;,0140845070422535;50;3;,06;,0075;60;7;,116666666666667;,0145833333333333;45;4;,0888888888888889;,0111111111111111;58;2;,0344827586206897;,00431034482758621
01VR;00;Montessorischool;2912CR;NIEUWERKERK AD IJSSEL;1892;Zuidplas;Zuid-Holland;Bo;Algemeen bijzonder;41226;34;1;,0294117647058824;,00367647058823529;32;0;0;0;23;3;,130434782608696;,016304347826087;27;3;,111111111111111;,0138888888888889;30;1;,0333333333333333;,00416666666666667;33;5;,151515151515152;,0189393939393939;19;3;,157894736842105;,0197368421052632
01VY;00;Basissch De Lingewaard;4241CA;ARKEL;1978;Molenlanden;Zuid-Holland;Bo;Openbaar;41638;39;7;,179487179487179;,0224358974358974;45;8;,177777777777778;,0222222222222222;28;3;,107142857142857;,0133928571428571;31;0;0;0;33;2;,0606060606060606;,00757575757575758;26;1;,0384615384615385;,00480769230769231;20;0;0;0
01WQ;00;Geref Basissch De Rank;9301KE;RODEN;1699;Noordenveld;Drenthe;Bo;Gereformeerd vrijgemaakt;42607;8;0;0;0;11;1;,0909090909090909;,0113636363636364;9;0;0;0;9;0;0;0;9;0;0;0;21;1;,0476190476190476;,00595238095238095;21;2;,0952380952380952;,0119047619047619
01WR;00;Sterrenschool Ermelo;3851ZK;ERMELO; 233;Ermelo;Gelderland;Bo;Gereformeerd vrijgemaakt;40945;12;2;,166666666666667;,0208333333333333;7;0;0;0;10;2;,2;,025;0;0; ; ;0;0; ; ;0;0; ; ;0;0; ; 
01WU;00;Vrije Sch De Regenboog;5643CJ;EINDHOVEN; 772;Eindhoven;Noord-Brabant;Bo;Antroposofisch;30027;41;12;,292682926829268;,0365853658536585;59;15;,254237288135593;,0317796610169492;49;15;,306122448979592;,038265306122449;58;15;,258620689655172;,0323275862068966;52;8;,153846153846154;,0192307692307692;39;8;,205128205128205;,0256410256410256;55;6;,109090909090909;,0136363636363636
01XH;00;Basisschool De Ammers;2964CC;GROOT-AMMERS;1978;Molenlanden;Zuid-Holland;Bo;Openbaar;41638;17;0;0;0;11;1;,0909090909090909;,0113636363636364;13;0;0;0;22;4;,181818181818182;,0227272727272727;7;0;0;0;12;1;,0833333333333333;,0104166666666667;14;3;,214285714285714;,0267857142857143
01XU;00;Hildegaertschool;3055TE;ROTTERDAM; 599;Rotterdam;Zuid-Holland;Bo;Protestants-Christelijk;40774;54;5;,0925925925925926;,0115740740740741;54;5;,0925925925925926;,0115740740740741;52;2;,0384615384615385;,00480769230769231;54;2;,037037037037037;,00462962962962963;55;4;,0727272727272727;,00909090909090909;48;2;,0416666666666667;,00520833333333333;58;3;,0517241379310345;,00646551724137931
02ZF;00;obs De Vlindertuin;4233HG;AMEIDE;1961;Vijfheerenlanden;Utrecht;Bo;Openbaar;41638;11;3;,272727272727273;,0340909090909091;9;1;,111111111111111;,0138888888888889;7;2;,285714285714286;,0357142857142857;9;0;0;0;10;0;0;0;2;0;0;0;8;1;,125;,015625
02ZG;00;OBS De Steenuil;7221BH;STEENDEREN;1876;Bronckhorst;Gelderland;Bo;Openbaar;41371;7;0;0;0;6;2;,333333333333333;,0416666666666667;0;0; ; ;0;0; ; ;0;0; ; ;0;0; ; ;0;0; ; 
02ZW;00;GBS 't Schrijvertje;7322CL;APELDOORN; 200;Apeldoorn;Gelderland;Bo;Gereformeerd vrijgemaakt;40945;16;0;0;0;17;0;0;0;23;1;,0434782608695652;,00543478260869565;18;0;0;0;16;0;0;0;19;0;0;0;28;0;0;0
02ZY;00;Geref Bs De Wingerd;4464JA;GOES; 664;Goes;Zeeland;Bo;Gereformeerd vrijgemaakt;41646;28;0;0;0;32;3;,09375;,01171875;27;5;,185185185185185;,0231481481481481;43;3;,0697674418604651;,00872093023255814;31;6;,193548387096774;,0241935483870968;26;2;,0769230769230769;,00961538461538462;29;0;0;0
03AG;00;PC Basissch De Hoeksteen;1991ET;VELSERBROEK; 453;Velsen;Noord-Holland;Bo;Protestants-Christelijk;26158;24;5;,208333333333333;,0260416666666667;28;1;,0357142857142857;,00446428571428571;24;3;,125;,015625;29;2;,0689655172413793;,00862068965517241;25;3;,12;,015;19;2;,105263157894737;,0131578947368421;25;1;,04;,005
03AH;00;Venlose Montessorischool;5914SH;VENLO; 983;Venlo;Limburg;Bo;Algemeen bijzonder;41167;41;9;,219512195121951;,0274390243902439;41;8;,195121951219512;,024390243902439;6;0;0;0;6;4;,666666666666667;,0833333333333333;4;0;0;0;14;2;,142857142857143;,0178571428571429;13;1;,0769230769230769;,00961538461538462
03AI;00;De Kleine Prins;7007BK;DOETINCHEM; 222;Doetinchem;Gelderland;Bo;Antroposofisch;77456;9;1;,111111111111111;,0138888888888889;10;3;,3;,0375;7;0;0;0;6;0;0;0;7;0;0;0;7;1;,142857142857143;,0178571428571429;12;2;,166666666666667;,0208333333333333
03AN;00;Basisschool Azelo;7495TW;AMBT DELDEN;1735;Hof van Twente;Overijssel;Bo;Openbaar;41785;5;2;,4;,05;3;0;0;0;3;2;,666666666666667;,0833333333333333;8;1;,125;,015625;7;1;,142857142857143;,0178571428571429;16;2;,125;,015625;10;2;,2;,025
03AP;00;Basisschool De Belhamel;5551EG;VALKENSWAARD; 858;Valkenswaard;Noord-Brabant;Bo;Openbaar;41662;8;0;0;0;15;1;,0666666666666667;,00833333333333333;16;1;,0625;,0078125;11;1;,0909090909090909;,0113636363636364;10;2;,2;,025;16;2;,125;,015625;12;0;0;0
03AX;00;GBS De Opbouw;9171LM;BLIJE;1722;Ferwerderadiel;Friesland;Bo;Gereformeerd vrijgemaakt;42607;7;0;0;0;0;0; ; ;0;0; ; ;0;0; ; ;0;0; ; ;0;0; ; ;0;0; ; 
03AZ;00;Geref Basissch De Rank;1817HJ;ALKMAAR; 361;Alkmaar;Noord-Holland;Bo;Gereformeerd vrijgemaakt;41646;9;0;0;0;19;3;,157894736842105;,0197368421052632;18;0;0;0;10;0;0;0;19;4;,210526315789474;,0263157894736842;16;1;,0625;,0078125;19;3;,157894736842105;,0197368421052632
03BA;00;Jan V Rijckenborghschool;1222SX;HILVERSUM; 402;Hilversum;Noord-Holland;Bo;Algemeen bijzonder;30013;13;2;,153846153846154;,0192307692307692;5;2;,4;,05;11;1;,0909090909090909;,0113636363636364;15;2;,133333333333333;,0166666666666667;12;3;,25;,03125;8;0;0;0;7;0;0;0
03BR;00;Basisschool De Kring;6191PD;BEEK LB; 888;Beek;Limburg;Bo;Openbaar;83280;25;3;,12;,015;18;2;,111111111111111;,0138888888888889;36;5;,138888888888889;,0173611111111111;24;3;,125;,015625;19;2;,105263157894737;,0131578947368421;15;0;0;0;17;2;,117647058823529;,0147058823529412
03BS;00;OBS Dr M L Kingschool;7591XJ;DENEKAMP;1774;Dinkelland;Overijssel;Bo;Openbaar;41565;16;4;,25;,03125;16;0;0;0;20;0;0;0;20;3;,15;,01875;27;3;,111111111111111;,0138888888888889;26;2;,0769230769230769;,00961538461538462;21;2;,0952380952380952;,0119047619047619
03BT;00;OBS Prinses Irene;7783BM;GRAMSBERGEN; 160;Hardenberg;Overijssel;Bo;Openbaar;41630;10;1;,1;,0125;5;0;0;0;11;0;0;0;6;0;0;0;12;0;0;0;7;1;,142857142857143;,0178571428571429;6;2;,333333333333333;,0416666666666667
03BU;00;Basisischool Margriet;1165GL;HALFWEG; 394;Haarlemmermeer;Noord-Holland;Bo;Openbaar;41500;10;3;,3;,0375;12;0;0;0;10;4;,4;,05;10;0;0;0;17;1;,0588235294117647;,00735294117647059;21;1;,0476190476190476;,00595238095238095;12;0;0;0
03BV;00;De Trumakkers;5591NG;HEEZE;1658;Heeze-Leende;Noord-Brabant;Bo;Openbaar;41662;30;1;,0333333333333333;,00416666666666667;27;3;,111111111111111;,0138888888888889;21;2;,0952380952380952;,0119047619047619;26;5;,192307692307692;,0240384615384615;23;5;,217391304347826;,0271739130434783;24;5;,208333333333333;,0260416666666667;25;4;,16;,02
03BW;00;De Zilverzwaan;6852DW;HUISSEN;1705;Lingewaard;Gelderland;Bo;Openbaar;41013;16;1;,0625;,0078125;0;0; ; ;0;0; ; ;0;0; ; ;0;0; ; ;0;0; ; ;0;0; ; 
03BX;00;OBS De Hobbitstee;3417WD;MONTFOORT; 335;Montfoort;Utrecht;Bo;Openbaar;41401;29;3;,103448275862069;,0129310344827586;29;5;,172413793103448;,021551724137931;28;3;,107142857142857;,0133928571428571;26;3;,115384615384615;,0144230769230769;48;2;,0416666666666667;,00520833333333333;23;1;,0434782608695652;,00543478260869565;23;1;,0434782608695652;,00543478260869565
03BY;00;OBS De Wijzer;6658WS;BENEDEN-LEEUWEN; 668;West Maas en Waal;Gelderland;Bo;Openbaar;41340;14;2;,142857142857143;,0178571428571429;18;1;,0555555555555556;,00694444444444444;7;0;0;0;24;1;,0416666666666667;,00520833333333333;25;5;,2;,025;12;1;,0833333333333333;,0104166666666667;22;2;,0909090909090909;,0113636363636364
03CJ;00;Montessorischool;4462EK;GOES; 664;Goes;Zeeland;Bo;Algemeen bijzonder;77533;24;3;,125;,015625;17;4;,235294117647059;,0294117647058824;14;3;,214285714285714;,0267857142857143;9;1;,111111111111111;,0138888888888889;16;3;,1875;,0234375;17;1;,0588235294117647;,00735294117647059;18;1;,0555555555555556;,00694444444444444
03CL;00;Lubertischool;1796AH;DE KOOG; 448;Texel;Noord-Holland;Bo;Algemeen bijzonder;41841;11;3;,272727272727273;,0340909090909091;5;0;0;0;15;2;,133333333333333;,0166666666666667;9;1;,111111111111111;,0138888888888889;4;0;0;0;8;1;,125;,015625;6;1;,166666666666667;,0208333333333333
03CO;00;GBS De Wegwijzer;8331MZ;STEENWIJK;1708;Steenwijkerland;Overijssel;Bo;Gereformeerd vrijgemaakt;41632;6;1;,166666666666667;,0208333333333333;5;0;0;0;8;0;0;0;11;1;,0909090909090909;,0113636363636364;5;1;,2;,025;9;0;0;0;8;0;0;0
03CS;00;De Overstap;2974LH;BRANDWIJK;1927;Molenwaard;Zuid-Holland;Bo;Openbaar;41638;8;1;,125;,015625;0;0; ; ;0;0; ; ;0;0; ; ;0;0; ; ;0;0; ; ;0;0; ; 
03CT;00;De Golfslag;4357EN;DOMBURG; 717;Veere;Zeeland;Bo;Openbaar;42610;13;0;0;0;16;3;,1875;,0234375;12;0;0;0;20;0;0;0;9;0;0;0;21;3;,142857142857143;,0178571428571429;18;2;,111111111111111;,0138888888888889
03CU;00;OBS De Meander;6665AX;DRIEL;1734;Overbetuwe;Gelderland;Bo;Openbaar;41530;7;0;0;0;10;1;,1;,0125;0;0; ; ;0;0; ; ;0;0; ; ;0;0; ; ;0;0; ; 
03CV;00;De Zwerm;1744KJ;SINT MAARTEN; 441;Schagen;Noord-Holland;Bo;Openbaar;41438;13;2;,153846153846154;,0192307692307692;9;2;,222222222222222;,0277777777777778;9;1;,111111111111111;,0138888888888889;10;0;0;0;15;2;,133333333333333;,0166666666666667;12;2;,166666666666667;,0208333333333333;13;1;,0769230769230769;,00961538461538462
03CW;00;OBS Apollo;4841ND;PRINSENBEEK; 758;Breda;Noord-Brabant;Bo;Openbaar;41869;14;2;,142857142857143;,0178571428571429;17;6;,352941176470588;,0441176470588235;14;0;0;0;19;5;,263157894736842;,0328947368421053;15;2;,133333333333333;,0166666666666667;0;0; ; ;0;0; ; 
03DF;00;OBS Kromme Akkers;9893PD;GARNWERD;1969;Westerkwartier;Groningen;Bo;Openbaar;13683;8;1;,125;,015625;4;0;0;0;4;0;0;0;12;1;,0833333333333333;,0104166666666667;6;1;,166666666666667;,0208333333333333;4;0;0;0;7;0;0;0
03DG;00;OBS Klinkenborg;9995PN;KANTENS;1966;Het Hogeland;Groningen;Bo;Openbaar;13683;8;0;0;0;12;3;,25;,03125;8;1;,125;,015625;10;2;,2;,025;7;1;,142857142857143;,0178571428571429;7;0;0;0;5;0;0;0
